Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2016-0511-P,2016-07-29,2016-08-01,2016-12-21,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34913,Black,Female,26,,Female,Black,40
Public Initiated,2016-0511-P,2016-07-29,2016-08-01,2016-12-21,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34914,Black,Male,53,,Female,Black,40
Public Initiated,2016-0511-P,2016-07-29,2016-08-01,2016-12-21,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,36676,White,Male,26,,Female,Black,40
Public Initiated,2016-0493-P,2016-07-22,2016-07-25,2016-12-30,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Unknown Working Status,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,34917,White,Male,27,,Female,White,48
Rank Initiated,2016-0632-R,,2016-09-26,2019-01-24,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,35826,Black,Male,,,Male,,
Rank Initiated,2016-0514-R,,2016-08-01,2016-12-23,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Staff,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34925,Black,Female,,,,,
Rank Initiated,2016-0514-R,,2016-08-01,2016-12-23,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Staff,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34926,,,,,,,
Rank Initiated,2016-0501-R,2016-06-27,2016-07-27,2016-12-19,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34934,Black,Male,41,,Female,Black,
Rank Initiated,2016-0510-R,2016-07-28,2016-07-29,2016-12-19,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34936,Black,Female,34,,Female,Black,
Public Initiated,2016-0499-N,2016-07-17,2016-08-02,2017-05-02,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,39537,,,,,Female,Black,40
Public Initiated,2016-0499-N,2016-07-17,2016-08-02,2017-05-02,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,39538,White,Male,26,,Female,Black,40
Public Initiated,2016-0515-N,,2016-08-01,2016-09-16,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,34937,,,,,Female,Black,
Public Initiated,2016-0517-P,2016-07-31,2016-08-02,2016-12-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,34942,Black,Male,56,,Female,Black,41
Public Initiated,2016-0518-N,2016-07-28,2016-08-02,2017-03-07,DI-1,Completed,NFIM,,Unknown District/Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34943,,,,,Female,Black,47
Public Initiated,2016-0518-N,2016-07-28,2016-08-02,2017-03-07,DI-1,Completed,NFIM,,Unknown District/Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34944,,,,,Female,Black,47
Public Initiated,2016-0524-P,2015-11-15,2016-08-03,2016-11-18,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34945,White,Male,38,,Female,White,31
Public Initiated,2016-0519-P,2016-03-15,2016-08-02,2017-04-17,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Special Investigations Division,Narcotics Section,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34947,Black,Male,47,,Male,Black,47
Public Initiated,2016-0508-P,2016-05-02,2016-08-05,2017-04-17,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Mounted,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34981,American Indian/Alaska Native,Male,67,,Female,Black,
Public Initiated,2016-0530-P,2016-07-26,2016-08-05,2016-09-02,Mediation,Completed,Withdrawn - Mediation,PIB - Public Integrity Bureau,Staff,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34983,Black,Female,53,,Male,Black,56
Public Initiated,2016-0530-P,2016-07-26,2016-08-05,2016-09-02,Mediation,Completed,Withdrawn - Mediation,PIB - Public Integrity Bureau,Staff,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34984,Hispanic,Female,43,,Male,Black,56
Public Initiated,2016-0525-P,2016-07-27,2016-08-03,2019-03-28,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,7th District,Unknown Assignment,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34985,Black,Male,32,,Female,Black,33
Public Initiated,2016-0513-N,2016-07-21,2016-08-05,2017-05-02,NFIM,Completed,NFIM,,Unknown District/Division,,,,,NO VIOLATION OBSERVED,,35272,,,,,Female,Black,54
Public Initiated,2016-0527-P,2016-07-27,2016-08-05,2016-12-27,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,B Platoon,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,34987,White,Male,40,,Male,White,20
Public Initiated,2016-0521-P,2014-11-12,2016-08-05,,DI-1,Active,Pending,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,,,,,,Female,White,
Rank Initiated,2016-0529-R,2016-08-05,2016-08-05,2017-01-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,Admin Unit,Furlough,,RULE 3: PROF CONDUCT,PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing,34998,White,Male,50,,,,
Public Initiated,2016-0528-P,2016-08-04,2016-08-04,2016-09-12,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,8th District,Narcotics,Narcotics,Unknown Working Status,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34999,White,Female,39,,Male,Black,34
Public Initiated,2016-0533-P,2016-05-09,2016-08-08,2017-03-07,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Sex Crimes Platoon 1,Regular Working,7:00p-3:35am,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,35052,Black,Female,35,,Female,Black,29
Rank Initiated,2016-0534-R,2016-08-01,2016-08-11,2017-10-25,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,Narcotics,General Assignment,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35066,Black,Male,30,,,,
Rank Initiated,2016-0516-R,2016-01-12,2016-08-11,2017-11-16,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35069,Black,Male,24,,,,
Rank Initiated,2016-0526-R,2016-07-14,2016-08-03,2018-02-14,DI-1,Completed,Other,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35074,White,Male,33,,,,
Rank Initiated,2016-0538-R,2016-03-31,2016-08-12,2017-11-06,DI-1,Completed,Other,ISB - Investigative Services Bureau,Special Investigations Division,Intelligence Section,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35076,Black,Female,46,,,,
Public Initiated,2016-0539-P,2016-08-09,2016-08-10,2016-11-18,DI-1,Completed,Not Sustained,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 07 - LEAVING CITY ON DUTY,35077,,,,,Female,,
Public Initiated,2016-0537-P,2016-08-09,2016-08-09,2016-12-21,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,35083,Black,Male,32,,Male,Black,38
Public Initiated,2016-0520-P,2016-08-01,2016-08-12,2016-12-27,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35807,Black,Male,32,,Female,White,38
Public Initiated,2016-0522-P,2016-06-09,2016-08-03,2017-05-02,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,Narcotics,Patrol,Regular Working,Between 11pm-7am,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,35090,White,Male,29,,Male,Black,37
Rank Initiated,2016-0544-R,2016-08-13,2016-08-15,2018-06-13,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,DWI Unit,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35096,Black,Male,54,,,,
Rank Initiated,2016-0543-R,2016-08-12,2016-08-15,2017-12-11,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Police Recruits,Training Section,,Unknown Working Status,8:00A-4:00PM,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,35106,Black,Female,27,,,,
Public Initiated,2016-0542-P,2016-08-11,2016-08-12,2016-12-23,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Special Investigations Division,Building Security,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35113,Black,Male,54,,Male,White,50
Public Initiated,2016-0531-P,2014-11-14,2016-08-05,2016-08-30,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,4th District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 6: OFFICIAL INFO,PARAGRAPH 02 - FALSE OR INACCURATE REPORTS,35114,Black,Female,26,,Male,Black,61
Rank Initiated,2016-0545-D,2016-08-09,2016-08-16,2016-08-22,DI-2,Completed,Other,ISB - Investigative Services Bureau,Crime Lab and Evidence Division,Crime Lab Section,Support Staff,Regular Working,Between 6:30am-2:30pm,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,35126,Black,Male,30,,,,
Public Initiated,2016-0523-P,2016-08-11,2016-08-17,2016-11-18,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35242,,,,,Male,Black,65
Public Initiated,2016-0541-P,2012-11-08,2016-08-19,2016-12-30,DI-1,Completed,Unfounded,PIB - Public Integrity Bureau,Criminal Investigation Section,Criminal Investigation Section,Investigations,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,35175,Hispanic,Male,43,,Female,Black,29
Public Initiated,2016-0541-P,2012-11-08,2016-08-19,2016-12-30,DI-1,Completed,Unfounded,PIB - Public Integrity Bureau,Criminal Investigation Section,Criminal Investigation Section,Investigations,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,35307,Black,Male,45,,Female,Black,29
Public Initiated,2016-0552-N,2016-06-23,2016-08-18,2017-01-09,NFIM,Completed,NFIM,,Unknown District/Division,,,,,NO VIOLATION OBSERVED,,35290,,,,,,,
Rank Initiated,2016-0551-R,2016-08-17,2016-08-18,2017-11-20,DI-1,Completed,Other,FOB - Field Operations Bureau,Police Recruits,Training Section,,Off Duty,Between 8am-4pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35177,Black,Female,31,,,,
Public Initiated,2016-0536-N,2016-08-05,2016-08-19,2017-03-07,NFIM,Completed,NFIM,FOB - Field Operations Bureau,Communications Division,,,Unknown Working Status,Between 7am-3pm,NO VIOLATION OBSERVED,,35178,,,,,Female,Black,50
Public Initiated,2016-0553-P,2016-06-04,2016-08-19,2017-03-06,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 6: OFFICIAL INFO,PARAGRAPH 02 - FALSE OR INACCURATE REPORTS,35179,White,Male,39,,Female,Black,56
Public Initiated,2016-0555-P,2016-08-18,2016-08-19,2016-12-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35237,White,Female,54,,Female,Black,
Public Initiated,2016-0555-P,2016-08-18,2016-08-19,2016-12-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35238,Black,Male,48,,Female,Black,
Public Initiated,2016-0555-P,2016-08-18,2016-08-19,2016-12-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35240,Black,Female,25,,Female,Black,
Public Initiated,2016-0555-P,2016-08-18,2016-08-19,2016-12-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35241,Black,Female,32,,Female,Black,
Public Initiated,2016-0535-P,2016-08-05,2016-08-08,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35204,Black,Male,23,,Female,Black,34
Public Initiated,2016-0535-P,2016-08-05,2016-08-08,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37142,Black,Male,50,,Female,Black,34
Rank Initiated,2016-0547-R,2016-08-06,2016-08-22,2018-03-23,DI-1,Completed,Sustained,ISB - Investigative Services Bureau,Crime Lab Division,,,,,RULE 5: REST ACTIVITIES,PARAGRAPH 01 - FICTITIOUS ILLNESS OR INJURY,35222,Black,Female,33,,,,
Public Initiated,2016-0532-P,2016-08-06,2016-08-16,2017-10-17,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,8th District,,Re-Assigned,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,35225,White,Male,41,,Female,,41
Public Initiated,2016-0554-N,2016-08-16,2016-08-22,2017-05-02,NFIM,Completed,NFIM,FOB - Field Operations Bureau,7th District,Day Watch,,,,NO VIOLATION OBSERVED,,35228,Black,Female,40,,Female,Black,39
Public Initiated,2016-0540-P,2016-06-01,2016-08-10,2016-09-12,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35261,Black,Male,43,,Female,Black,38
Public Initiated,2016-0560-P,2016-08-22,2016-08-22,2017-04-06,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37640,Asian/Pacific Islander,Male,30,,Female,Black,40
Public Initiated,2016-0560-P,2016-08-22,2016-08-22,2017-04-06,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37638,White,Male,32,,Female,Black,40
Public Initiated,2016-0560-P,2016-08-22,2016-08-22,2017-04-06,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35273,Black,Male,32,,Female,Black,40
Public Initiated,2016-0558-P,2016-08-22,2016-08-25,2016-09-09,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35289,Black,Male,40,,Female,Black,
Public Initiated,2016-0556-P,2016-05-20,2016-08-25,2019-07-19,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35295,Black,Male,54,,Male,Black,60
Public Initiated,2016-0556-P,2016-05-20,2016-08-25,2019-07-19,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35296,,,,,Male,Black,60
Public Initiated,2016-0556-P,2016-05-20,2016-08-25,2019-07-19,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35291,White,Male,23,,Male,Black,60
Public Initiated,2016-0556-P,2016-05-20,2016-08-25,2019-07-19,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35293,Black,Male,27,,Male,Black,60
Rank Initiated,2016-0557-R,2016-08-19,2016-08-25,2017-11-06,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,B Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35297,Black,Male,37,,,,
Public Initiated,2016-0546-N,2016-08-13,2016-08-15,2016-12-21,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,35299,,,,,Sex-Unk,Race-Unknown,
Public Initiated,2016-0562-P,2016-08-23,2016-08-24,2016-12-12,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35300,Black,Female,36,,Male,Black,24
Public Initiated,2016-0548-P,2016-08-15,2016-08-16,2017-04-27,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35302,White,Male,29,,Male,Black,50
Public Initiated,2016-0567-P,2015-07-09,2016-08-29,2017-05-17,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,B Platoon,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35308,Black,Male,47,,Female,Black,52
Public Initiated,2016-0564-N,2016-08-25,2016-08-26,2016-12-27,DI-1,Completed,NFIM,,Unknown District/Division,,,,,NO VIOLATION OBSERVED,,35514,,,,,Female,Race-Unknown,52
Rank Initiated,2016-0561-R,2016-06-20,2016-08-25,2018-08-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35321,Black,Male,53,,,,
Public Initiated,2016-0568-N,2015-01-25,2016-08-29,2017-05-02,NFIM,Completed,NFIM,,Unknown District/Division,,,,,NO ALLIGATIONS ASSIGNED AT THIS TIME,,35324,,,,,Male,White,
Public Initiated,2016-0550-P,2016-06-25,2016-08-18,2017-04-12,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,5th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35345,Black,Male,33,,Female,Black,
Public Initiated,2016-0549-P,2016-08-09,2016-08-31,2017-03-07,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35352,Black,Female,53,,Male,Black,34
Public Initiated,2016-0573-N,2016-08-29,2016-08-30,2016-12-27,DI-1,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,,Unknown Working Status,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35357,,,,,Male,Black,63
Rank Initiated,2016-0572-R,2016-08-29,2016-08-30,2017-10-25,DI-1,Completed,Other,FOB - Field Operations Bureau,5th District,Narcotics,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35354,White,Female,28,,,,
Rank Initiated,2016-0571-R,2016-08-29,2016-08-29,2019-05-05,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,B Platoon,,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing,35361,Black,Female,36,,,,
Public Initiated,2016-0583-P,2013-10-18,2016-08-31,,DI-1,Active,Pending,FOB - Field Operations Bureau,6th District,D.I.U.,Staff,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35362,White,Male,34,,Male,White,68
Public Initiated,2016-0583-P,2013-10-18,2016-08-31,,DI-1,Active,Pending,FOB - Field Operations Bureau,6th District,D.I.U.,Staff,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35516,Black,Male,52,,Male,White,68
Public Initiated,2016-0577-P,2016-08-31,2016-08-31,2017-01-03,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35382,Black,Female,33,,Female,Black,46
Rank Initiated,2016-0570-R,2016-08-28,2016-09-01,2017-10-25,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,35384,Black,Female,32,,,,
Public Initiated,2016-0559-P,2016-08-22,2016-08-22,2017-04-12,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,B Platoon,Unknown Assignment,Off Duty,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,35406,Black,Male,43,,Male,Black,33
