PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2018-0410,11/05/2018,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Firearm (Exhibited) | Takedown (no injury),L1 | L1 | L1,,Yes | Yes | Yes,White | Black | Black,Male | Male | Male,31 | 55 | 24,14 | 33 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2018-0409,11/05/2018,FOB - Field Operations Bureau,3rd District,Task Force,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,Yes,Hispanic,Male,53,15,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0009,01/06/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Training,Traffic Stop,Good,Clear Conditions,CEW Deployment | Hands,L2 | L1,,Yes | Yes,White | White,Male | Male,32 | 28,8 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0010,01/07/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Escort Tech) | Hands | Hands,L1 | L1 | L1,,Yes | Yes | Yes,White | White | White,Male | Male | Female,42 | 32 | 27,15 | 13 | 5,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2019-0011,01/07/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,35,14,,,,,,,,,,,Flight from an Officer,No
FTN2019-0012,01/08/2019,ISB - Investigative Services Bureau,ISB Staff,5th District,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Policy Violation,Serving a Warrant,Good,Clear Conditions,Rifle (Pointed) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Male,53 | 40,15 | 4,,,,,,,,,,,Flight from an Officer,No | No
FTN2016-0089,02/11/2016,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,Yes,White,Male,46,13,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0274,08/28/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Takedown (no injury),L1 | L1,,Yes | Yes,White | White,Male | Male,40 | 30,10 | 7,,,,,,,,,,,refuse verbal commands,No | No
FTN2019-0276,08/28/2019,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,38,14,,,,,,,,,,,Battery on Police Officer,No
FTN2019-0278,08/31/2019,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Takedown (no injury),L1,,Yes,Hispanic,Male,24,6,,,,,,,,,,,Flight from an Officer,No
FTN2019-0304,09/29/2019,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment | Hands | CEW Deployment | CEW Deployment,L2 | L1 | L2 | L2,,No | Yes | Yes | No,White | Black | Black | Black,Male | Male | Male | Male,32 | 24 | 24 | 33,7 | 6 | 6 | 3,,,,,,,,,,,refuse verbal commands,No | No | No | No
FTN2019-0311,10/03/2019,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,CEW Deployment | Force (Take Down),L2 | L2,,No | Yes,Black | Black,Male | Male,36 | 36,6 | 6,,,,,,,,,,,Flight from an Officer,No | No
FTN2019-0317,10/08/2019,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | Black,Male | Male,47 | 27,26 | 3,,,,,,,,,,,Other,No | No
FTN2019-0077,02/26/2019,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,Black | White,Male | Male,41 | 34,14 | 7,,,,,,,,,,,refuse verbal commands,No | No
FTN2016-0304,06/10/2016,FOB - Field Operations Bureau,8th District,Mounted,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,White,Male,35,14,,,,,,,,,,,Other,No
FTN2016-0314,06/17/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Deployment | CEW Deployment,L2 | L2,,No | No,Black | Black,Male | Female,54 | 36,10 | 8,,,,,,,,,,,Resisting Lawful Arrest,No | Yes
FTN2016-0315,06/18/2016,FOB - Field Operations Bureau,1st District,D.I.U.,Property,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,34 | 44 | 25,14 | 24 | 8,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2019-0313,10/03/2019,FOB - Field Operations Bureau,7th District,Task Force,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,No,Hispanic,Male,31,7,,,,,,,,,,,Flight from an Officer,No
FTN2019-0314,10/04/2019,FOB - Field Operations Bureau,4th District,ISB Staff,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Head Strike (No Wep) | Hands,L3 | L1,,Yes | Yes,Hispanic | Black,Male | Male,51 | 31,25 | 7,,,,,,,,,,,Resisting Lawful Arrest,Yes | No
FTN2019-0338,11/07/2019,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Male,38 | 45,15 | 25,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0339,11/07/2019,FOB - Field Operations Bureau,Special Operations Division,,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | Black,Male | Male,51 | 39,20 | 18,,,,,,,,,,,Tactical Deployments,No | No
FTN2017-0193,04/12/2017,FOB - Field Operations Bureau,5th District,Narcotics,,Regular Working,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited) | Hands | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Asian/Pacific Islander | White | Black,Male | Female | Male,34 | 45 | 28,14 | 8 | 8,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2017-0559,10/24/2017,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,43,25,,,,,,,,,,,Other,No
FTN2019-0013,01/09/2019,FOB - Field Operations Bureau,4th District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Rifle (Pointed),L1 | L1 | L1,,Yes | Yes | Yes,Black | Hispanic | Black,Male | Male | Male,27 | 29 | 32,6 | 6 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2019-0014,01/10/2019,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,White | Black,Male | Male,36 | 34,13 | 7,,,,,,,,,,,Battery on Police Officer,No | Yes
FTN2019-0016,01/12/2019,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Hands | Takedown (w/injury),L1 | L2,,Yes | Yes,White | White,Male | Male,50 | 50,6 | 6,,,,,,,,,,,Battery on Police Officer,Yes | Yes
FTN2019-0015,01/12/2019,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Takedown (no injury) | CEW Deployment,L1 | L2,,Yes | No,Black | Black,Male | Male,25 | 25,6 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0018,01/12/2019,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,29,6,,,,,,,,,,,refuse verbal commands,No
FTN2019-0019,01/13/2019,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,Hands | Hands | Force (Take Down),L1 | L1 | L2,,Yes | Yes | Yes,White | White | White,Male | Male | Male,37 | 32 | 28,13 | 8 | 7,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2019-0022,01/14/2019,FOB - Field Operations Bureau,6th District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Arresting,Good,Other,CEW Deployment,L2,,Yes,White,Male,46,14,,,,,,,,,,,Flight from an Officer,No
FTN2019-0360,11/26/2019,FOB - Field Operations Bureau,Special Operations Division,,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,47,25,,,,,,,,,,,Tactical Deployments,No
FTN2017-0558,10/24/2017,FOB - Field Operations Bureau,6th District,School Resource Officers,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,48 | 50 | 56,16 | 15 | 4,,,,,,,,,,,Resisting Lawful Arrest,No | Yes | Yes
FTN2019-0021,01/14/2019,FOB - Field Operations Bureau,1st District,K9 Section,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Canine (No Bite) | Firearm (Exhibited),L1 | L1 | L2 | L1,,Yes | No | Yes | Yes,Black | White | White | White,Male | Male | Male | Male,41 | 41 | 60 | 28,14 | 13 | 16 | 8,,,,,,,,,,,Tactical Deployments,No | No | No | No
FTN2019-0023,01/18/2019,FOB - Field Operations Bureau,2nd District,Extended Sick,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,Black,Female,30,6,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0024,01/18/2019,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Takedown (no injury),L1,,Yes,Black,Male,45,17,,,,,,,,,,,refuse verbal commands,No
FTN2019-0026,01/20/2019,FOB - Field Operations Bureau,4th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Pedestrian Stop,Good,Clear Conditions,Takedown (w/injury) | Takedown (w/injury),L2 | L2,,Yes | Yes,Black | Black,Male | Male,24 | 27,6 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0025,01/20/2019,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Force (Defense Tech) | Hands | Force (Take Down),L1 | L2 | L1 | L2,,Yes | Yes | Yes | Yes,Hispanic | Hispanic | White | White,Male | Male | Male | Male,34 | 34 | 27 | 27,5 | 5 | 5 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | No | Yes | Yes
FTN2019-0027,01/20/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,White | White,Male | Male,41 | 31,17 | 8,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0194,04/12/2017,FOB - Field Operations Bureau,1st District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,White,Female,27,6,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0315,10/07/2019,FOB - Field Operations Bureau,8th District,Task Force A,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Take Down) | CEW Exhibited/Laser,L2 | L1,,Yes | Limited,White | White,Male | Male,36 | 27,7 | 7,,,,,,,,,,,Resisting Lawful Arrest,Yes | Yes
FTN2017-0562,10/29/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands,L1,,Yes,Black,Male,36,7,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0029,01/24/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Hands | Takedown (w/injury),L1 | L2,,Yes | Yes,Hispanic | White,Male | Male,54 | 26,15 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0032,01/28/2019,FOB - Field Operations Bureau,1st District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,54,30,,,,,,,,,,,refuse verbal commands,No
FTN2019-0033,01/28/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Training,Arresting,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | Black,Male | Male,40 | 31,10 | 4,,,,,,,,,,,refuse verbal commands,Yes | No
FTN2019-0035,01/29/2019,FOB - Field Operations Bureau,1st District,Limited Duty,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury) | Hands | Hands | Takedown (w/injury),L2 | L1 | L1 | L2,,Yes | Yes | Yes | Yes,White | White | Hispanic | White,Male | Male | Male | Male,36 | 36 | 36 | 28,15 | 13 | 6 | 5,,,,,,,,,,,Flight from an Officer,No | No | No | No
FTN2019-0036,01/30/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,26,6,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0037,01/30/2019,FOB - Field Operations Bureau,3rd District,Task Force A,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,41,13,,,,,,,,,,,Room clearing,No
FTN2019-0038,01/30/2019,FOB - Field Operations Bureau,3rd District,Task Force A,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Poor,Clear Conditions,Hands | Hands | Hands | Hands | Takedown (no injury) | Hands,L1 | L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes | Yes,White | White | White | White | White | Not Specified,Male | Male | Male | Male | Male | Male,41 | 29 | 32 | 28 | 28 | 31,13 | 9 | 8 | 6 | 6 | 5,,,,,,,,,,,refuse verbal commands,No | No | No | No | No | No
FTN2019-0039,02/01/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Heavy,Force (Escort Tech),L1,,Yes,White,Male,32,13,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0041,02/04/2019,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Rifle (Pointed) | Rifle (Pointed),L1 | L1,,Yes | Yes,Black | White,Male | Male,41 | 28,14 | 8,,,,,,,,,,,Weapon Exhibited,No | No
FTN2019-0042,02/05/2019,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,26,6,,,,,,,,,,,Weapon Exhibited,No
FTN2019-0044,02/05/2019,FOB - Field Operations Bureau,4th District,Task Force,A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,58,31,,,,,,,,,,,Tactical Deployments,No
FTN2019-0045,02/05/2019,FOB - Field Operations Bureau,6th District,D.I.U.,Property,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | White,Male | Female,48 | 32,25 | 5,,,,,,,,,,,refuse verbal commands,No | No
FTN2019-0043,02/05/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,28,5,,,,,,,,,,,Weapon Exhibited,No
FTN2019-0046,02/06/2019,FOB - Field Operations Bureau,3rd District,Task Force,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,Hispanic | White,Male | Male,42 | 35,6 | 6,,,,,,,,,,,refuse verbal commands,No | No
FTN2019-0047,02/06/2019,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment | Baton/PR-24 (Strike),L2 | L3,,Yes | No,White | White,Male | Male,59 | 59,32 | 32,,,,,,,,,,,Battery on Police Officer,No | No
FTN2017-0567,10/31/2017,FOB - Field Operations Bureau,6th District,,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,White,Male,27,7,,,,,,,,,,,Weapon Exhibited,No
FTN2019-0048,02/06/2019,FOB - Field Operations Bureau,7th District,Task Force A,,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,Black | Hispanic,Male | Male,42 | 31,16 | 7,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0049,02/06/2019,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Asian/Pacific Islander,Male,36,14,,,,,,,,,,,Flight from an Officer,No
FTN2019-0050,02/06/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,41,17,,,,,,,,,,,Weapon Exhibited,No
FTN2019-0051,02/07/2019,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Takedown (no injury),L1 | L1,,Yes | Yes,Black | White,Female | Female,49 | 23,29 | 4,,,,,,,,,,,refuse verbal commands,No | Yes
FTN2019-0052,02/07/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Hands | CEW Deployment | Hands,L1 | L2 | L1,,No | Yes | No,White | White | White,Female | Female | Female,39 | 39 | 26,6 | 6 | 4,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2019-0053,02/08/2019,FOB - Field Operations Bureau,1st District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | White,Male | Male,41 | 41,14 | 8,,,,,,,,,,,Weapon Exhibited,No | No
FTN2019-0054,02/12/2019,FOB - Field Operations Bureau,3rd District,Task Force,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Medium,Takedown (w/injury) | Takedown (w/injury),L2 | L2,,Yes | Yes,Hispanic | White,Male | Male,54 | 26,15 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0055,02/12/2019,FOB - Field Operations Bureau,Special Operations Division,,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,34,10,,,,,,,,,,,Tactical Deployments,No
